DayNumber,SceneNumbers,EightsUsed,Time,Location
1,1:2:3:162:160:158:133:151:132:139:9:11:87:121:122:125:81:83:103:126:67,40,DAY_NIGHT,BEACH/CLEMENTINE'S APARTMENT/TUBE/TILED HALLWAY/CAR/OFFICE/COMMUTER TRAIN STATION/WAITING ROOM/PUBLISHING HOUSE RECEPTION AREA/
2,4:25:32:5:6:7:8,40,NIGHT,MONTAUK TRAIN STATION/INNER OFFICE AREA/OFFICE/COMMUTER TRAIN STATION/WAITING ROOM/
3,123,46,DAY,BEACH/
4,10:12:14:15:16:17:44:141:19:20,40,DAY_NIGHT,CLEMENTINE'S APARTMENT/TRAIN STATION/CAR/DINER/JOEL'S APARTMENT BUILDING/MONTAUK TRAIN STATION PLATFORM/TRAIN/JOEL'S CAR/
5,13,54,DAY,TRAIN/
6,144:148:62:65:69:104:138:86,40,NIGHT,CLEMENTINE'S APARTMENT/JOEL'S APARTMENT/
7,18,64,NIGHT,CLEMENTINE'S APARTMENT/
8,23:43:50:35:38:40:42:47:48:52:55,39,DAY_NIGHT,JOEL'S CAR/JOEL'S APARTMENT/
9,95:128:92:72:109:117:145:147:106,40,DAY_NIGHT,JOEL'S APARTMENT BUILDING/JOEL'S APARTMENT/
10,30:21:28:54:142:51,40,NIGHT,STREET/JOEL'S APARTMENT/
11,58:61:63:66:70:76:108:82,40,NIGHT,JOEL'S BEDROOM/JOEL'S APARTMENT/
12,22:26:27:29:37,40,DAY,LABORATORY/JOEL'S OFFICE/HALLWAY/LAB ROOM/BOOKSTORE/
13,24:45:31:33:34:36:135:150:39:41:64,40,DAY_NIGHT,MIERZWIAK'S OFFICE/OFFICE HALL/JOEL'S OFFICE/HALLWAY/NEW YORK STREET/ROB AND CARRIE'S LIVING ROOM/STREET/
14,46:49:53:79:116:60:100,40,DAY_NIGHT,JOEL'S BEDROOM/CHINESE RESTAURANT/STREET/ELEVATOR/
15,56:57:59:74:84,37,DAY_NIGHT,JOEL'S BEDROOM/BAR/ZOO/
16,94:110:127:131:91:98:137:96:111,39,NIGHT,CHARLES RIVER/JOEL'S BEDROOM/BORDER'S BOOKSTORE/
17,68:143:85:88:89:97,40,DAY_NIGHT,CHARLES RIVER/BOY'S BEDROOM/RESTAURANT/COMMUTER TRAIN/SCHOOLYARD/
18,71:73:77:80:75:78:102,37,NIGHT,KITCHEN/CLEMENTINE'S CAR/RESTAURANT/FOREST/MIERZWIAK'S BEDROOM/
19,136:134:154,20,DAY_NIGHT,LACUNA RECEPTION AREA/RESTAURANT/
20,90:93:99:101:105:112:153,38,DAY_NIGHT,DRESS SHOP/COUNTRY ROAD/SUBURBAN STREET/LACUNA RECEPTION AREA/ROWBOAT/PARK/
21,107:113:114:118:115:120,33,DAY_NIGHT,BUILDING STAIRWAY/ROB AND CARRIE'S CAR/BEACH PARKING LOT/ROOM/BORDER'S BOOKSTORE/
22,119:146:124:140:152:149:155:157:156,40,DAY,LACUNA LTD. WAITING ROOM/COMMUTER TUBE/VAGUE SPACE/HOUSE/ROB AND CARRIE'S KITCHEN/MARY'S APARTMENT/
23,129:130:161:159:163,28,DAY_NIGHT,PATRICK'S CAR/PARKING STRUCTURE/VAGUE SPACE/OLD MAN'S OFFICE/SECOND OLD WOMAN'S APARTMENT/
