DayNumber,SceneNumbers,EightsUsed,Time,Location
1,1:2:3:162:160:4:25:32:158:5:6,40,DAY_NIGHT,INNER OFFICE AREA/TUBE/TILED HALLWAY/OFFICE/WAITING ROOM/PUBLISHING HOUSE RECEPTION AREA/
2,133:151:7:132:139:8:9:11:87:121:122:125:10:12:14:15,40,DAY_NIGHT,MONTAUK TRAIN STATION/BEACH/OFFICE/DINER/MONTAUK TRAIN STATION PLATFORM/COMMUTER TRAIN STATION/TRAIN/
3,123,46,NIGHT,BEACH/
4,13,54,DAY,TRAIN/
5,16:17:44:81:83:103:126:62,40,NIGHT,CLEMENTINE'S APARTMENT/TRAIN STATION/CAR/
6,144:148:65:67:69:104:138:141:19:23,40,DAY_NIGHT,CLEMENTINE'S APARTMENT/JOEL'S CAR/
7,18,64,NIGHT,CLEMENTINE'S APARTMENT/
8,43:50:20:21:28:35:38:40:42,37,NIGHT,JOEL'S APARTMENT BUILDING/JOEL'S CAR/JOEL'S APARTMENT/
9,95:128:92:30:72:109:117:145:147:86:108:24,40,DAY_NIGHT,JOEL'S APARTMENT BUILDING/NEW YORK STREET/JOEL'S APARTMENT/
10,47:48:52:54:55:106:51:53:59,40,NIGHT,JOEL'S BEDROOM/STREET/JOEL'S APARTMENT/
11,58:61:63:66:70:76:64,38,NIGHT,STREET/JOEL'S APARTMENT/
12,142:22:41,40,NIGHT,BOOKSTORE/ROB AND CARRIE'S LIVING ROOM/JOEL'S APARTMENT/
13,45:26:31:27:29:33:34:36:135:39:49,40,DAY_NIGHT,LABORATORY/MIERZWIAK'S OFFICE/OFFICE HALL/JOEL'S OFFICE/HALLWAY/NEW YORK STREET/LAB ROOM/STREET/
14,150:37:46:56:57:94:110:127,40,DAY_NIGHT,JOEL'S BEDROOM/BAR/MIERZWIAK'S OFFICE/JOEL'S OFFICE/ZOO/ELEVATOR/
15,131:74:79:82:84:60:100,40,DAY_NIGHT,JOEL'S BEDROOM/CHINESE RESTAURANT/
16,91:98:116:137:96,39,NIGHT,CHARLES RIVER/JOEL'S BEDROOM/
17,68:143:88:89:102:97,37,NIGHT,CHARLES RIVER/BOY'S BEDROOM/RESTAURANT/COMMUTER TRAIN/
18,71:73:77:80:75:78:85,40,DAY_NIGHT,KITCHEN/CLEMENTINE'S CAR/SCHOOLYARD/FOREST/MIERZWIAK'S BEDROOM/
19,136:113:114:118:115:120,37,NIGHT,BUILDING STAIRWAY/RESTAURANT/ROB AND CARRIE'S CAR/BEACH PARKING LOT/BORDER'S BOOKSTORE/
20,90:93:99:101:134:154:105:107:111:112,40,DAY_NIGHT,DRESS SHOP/COUNTRY ROAD/SUBURBAN STREET/LACUNA RECEPTION AREA/ROWBOAT/ROOM/BORDER'S BOOKSTORE/PARK/
21,153:119:146:124:129:130:140,38,DAY_NIGHT,PATRICK'S CAR/PARKING STRUCTURE/HOUSE/ROB AND CARRIE'S KITCHEN/PARK/MARY'S APARTMENT/
22,152:149:155:157:156:161:159:163,33,DAY_NIGHT,LACUNA LTD. WAITING ROOM/COMMUTER TUBE/VAGUE SPACE/OLD MAN'S OFFICE/MARY'S APARTMENT/SECOND OLD WOMAN'S APARTMENT/
